DRUGBANKID	SMILES	NAME	MDR1	BCRP	MRP2
DB01163	[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1	Amdinocillin	None	None	None
DB01230	NC1=NC(=O)C(O1)C1=CC=CC=C1	Pemoline	None	None	None
DB01322	COC1=CC(=O)OC(C1)\C=C\C1=CCCC=C1	Kava	None	None	None
DB01388	COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC=CC=C3N2)CCC2=C(C=CC(F)=C2)[C@@H]1C(C)C	Mibefradil	None	None	None
DB01454	CNC(C)CC1=CC2=C(OCO2)C=C1	Midomafetamine	None	None	None
DB01481	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)C=C[C@]12C	Delta1-dihydrotestosterone	None	None	None
DB01520	C1CCN(CC1)C1(CCCCC1)C1=CC=CS1	Tenocyclidine	None	None	None
DB01535	CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC2=CC=CC=C2)CC1)C(=O)OC	Carfentanil	None	None	None
DB01546	CCC(N)CC1=CNC2=CC=CC=C12	Etryptamine	None	None	None
DB01632	O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O	Alpha-Phosphoribosylpyrophosphoric Acid	None	None	None
DB01633	[H][C@]1(O)O[C@]([H])(CO)[C@@]([H])(O[C@]2([H])O[C@]([H])(CO)[C@@]([H])(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@]([H])(O)[C@@]2([H])O)[C@]([H])(O)[C@@]1([H])F	Deoxy-2-Fluoro-B-D-Cellotrioside	None	None	None
DB01637	CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCO	3,7,11,15-Tetramethyl-Hexadecan-1-Ol	None	None	None
DB01645	OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O	Genistein	None	None	None
DB01677	OC(=O)\C=C\C(O)=O	Fumaric Acid	None	None	None
DB01698	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	Rutin	None	None	None
DB01700	NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	AICA ribonucleotide	None	None	None
DB01873	[H]\C(=C(\C)[C@]1([H])C\C([H])=C(C)/CCC[C@]([H])(C)[C@]([H])(O)[C@@]([H])(C)C(=O)C(C)(C)[C@@]([H])(O)CC(=O)O1)C1=CSC(C)=N1	Epothilone D	None	None	None
DB01880	OC(=O)\C=C\C1=CC(O)=C(O)C=C1	3,4-Dihydroxycinnamic Acid	None	None	None
DB01933	[H][C@]1(O)N=C(O)C2=C3C4=CC=CC=C4N4C3=C3N(C5=CC=CC=C5C3=C12)[C@@]1(C)O[C@]4([H])C[C@@]([H])(NC)[C@@]1([H])OC	7-Hydroxystaurosporine	None	None	None
DB01936	OC[C@H]1O[C@H](O)[C@@H](O)[C@@H]1O	alpha-D-arabinofuranose	None	None	None
DB01954	COC1=C(OC2CCCC2)C=C(C=C1)C1CN=C(O)C1	Rolipram	None	None	None
DB01992	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCS	Coenzyme A	None	None	None
DB02056	[H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O	Prostaglandin D2	None	None	None
DB02262	OC(=O)C1=CC(=O)NC(=O)N1	Orotic Acid	None	None	None
DB02292	NS(=O)(=O)OC1=CC=C2C3=C(CCCCC3)C(=O)OC2=C1	Irosustat	None	None	None
DB02342	COC1=C(O)C=C2CCC3C4CC[C@H](O)[C@@]4(C)CCC3C2=C1	2-Methoxyestradiol	None	None	None
DB02381	N[C@@H](CCNC(=N)NO)C(O)=O	nor-NOHA	None	None	None
DB02424	[H]/C1=C([H])/[C@]([H])(OC)[C@@]([H])(OC(O)=N)\C(C)=C([H])\[C@]([H])(C)[C@@]([H])(O)[C@]([H])(C[C@]([H])(C)CC2=C(OC)C(=O)C=C(N=C(O)\C(C)=C\1/[H])C2=O)OC	Geldanamycin	None	None	None
DB02568	NC1=NC(=O)C2=C(N1)C(CC1=CN=CC=C1)=CN2	Peldesine	None	None	None
DB02587	[H][C@]1(O)CCC(C)(C)[C@]2([H])[C@]([H])(O)[C@]([H])(OC(C)=O)[C@@]3(C)O[C@](C)(CC(=O)[C@]3(O)[C@@]12C)C=C	Colforsin	None	None	None
DB02594	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	2'-Deoxycytidine	None	None	None
DB02606	CC[C@@H](C)O	2-Butanol	None	None	None
DB02691	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCC([O-])=O	Glycocholic acid	None	None	None
DB02712	FC1=CC=C2OCC[C@]3(NC(=O)NC3=O)C2=C1	Sorbinil	None	None	None
DB02745	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	Uridine	None	None	None
DB02789	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)=O	Pregnenolone	None	None	None
DB02857	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	Guanosine	None	None	None
DB02891	CC1=C2N3C=NN=C3SC2=CC=C1	Tricyclazole	None	None	None
DB02893	CSCC[C@@H](N)C(O)=O	D-Methionine	None	None	None
DB02929	COC1=CC2=C(SCCN(C2)C(=O)CCN2CCC(CC3=CC=CC=C3)CC2)C=C1	K201	None	None	None
DB02938	CCCCCCC(O)=O	Heptanoic Acid	None	None	None
DB02948	ON(CCCP(O)(O)=O)C=O	Fosmidomycin	None	None	None
DB02962	N1C=NC2=CC=CC=C12	Benzimidazole	None	None	None
DB03010	[H]\C(=C(\C)[C@]1([H])C[C@]2([H])O[C@]2(C)CCC[C@]([H])(C)[C@]([H])(O)[C@@]([H])(C)C(=O)C(C)(C)[C@@]([H])(O)CC(=O)O1)C1=CSC(C)=N1	Patupilone	None	None	None
DB03044	CC1=CC=C(C=C1)N1N=C(C=C1NC(=O)NC1=CC=C(OCCN2CCOCC2)C2=C1C=CC=C2)C(C)(C)C	1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea	None	None	None
DB03088	OC(=O)[C@@H]1CCC(=O)N1	Pidolic Acid	None	None	None
DB03106	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	scyllo-inositol	None	None	None
DB03323	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Maltose	None	None	None
DB03348	[H][C@@]12CC3=C(C=CC(O)=N3)[C@]3(CC(C)=C1)NCCC[C@]23[H]	Huperzine B	None	None	None
DB03353	[H][C@]12CS[C@@]([H])(CCCCC(O)=O)[C@@]1([H])NC(=N)N2	2-Iminobiotin	None	None	None
DB03366	N1C=CN=C1	Imidazole	None	None	None
DB03419	O=C1NC=CC(=O)N1	Uracil	None	None	None
DB03424	[H][C@@](N)(CC1=CC=CC=C1)[C@]([H])(O)C(O)=N[C@@]([H])(CC(C)C)C(O)=O	Ubenimex	None	None	None
DB03496	CN1CC[C@@H]([C@H](O)C1)C1=C(O)C=C(O)C2=C1OC(=CC2=O)C1=CC=CC=C1Cl	Alvocidib	None	True	None
DB03516	O=C1NC=C(C#C)C(=O)N1	Eniluracil	None	None	None
DB03567	CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O	alpha-N-Acetyl-D-galactosamine	None	None	None
DB03568	CCCC(O)=O	Butyric Acid	None	None	None
DB03604	OC(=O)CC1=CC(I)=C(OC2=CC=C(O)C(I)=C2)C(I)=C1	Tiratricol	None	None	None
DB03695	COC1=CC(CC2=C(C)C3=C(N=C2)N=C(N)N=C3N)=C(OC)C=C1	Piritrexim	None	None	None
DB03701	FC1=CC=C(C=C1)C(OCCN1CCN(CCCC2=CC=CC=C2)CC1)C1=CC=C(F)C=C1	Vanoxerine	None	None	None
DB03708	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O	Adenosine 5'-phosphosulfate	None	None	None
DB03823	O[C@@H]1CC2=C(O[C@@H]1C1=CC(O)=C(O)C(O)=C1)C=C(O)C=C2O	Epigallocatechin	None	None	None
DB03849	[H][C@@]1(CC[C@](CC1)(C#N)C1=CC(OC2CCCC2)=C(OC)C=C1)C(O)=O	Cilomilast	None	None	None
DB03856	NCCC[C@@](N)(C(F)F)C(O)=O	L-Eflornithine	None	None	None
DB03925	CC(C)[C@@H](NC(=O)CN1C(=O)C(N)=CN=C1C1=CC=CC=C1)[C@@H](O)C1=NN=C(O1)C(C)(C)C	Freselestat	None	None	None
DB03929	N[C@H](CO)C(O)=O	D-Serine	None	None	None
DB04005	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O	Uridine 5'-triphosphate	None	None	None
DB04090	CC1=C(N2CC2)C(=O)C(CO)=C(N2CC2)C1=O	RH-1	None	None	None
DB04106	CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O	Fotemustine	None	None	None
DB04115	COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC	Berberine	None	None	None
DB04216	OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC=C(O)C(O)=C1	Quercetin	None	None	None
DB04223	N[C@@H](CCCNC(=N)N[N+]([O-])=O)C(O)=O	Nitroarginine	None	None	None
DB04253	NC(=O)C1=CC(N2CC2)=C(C=C1[N+]([O-])=O)[N+]([O-])=O	Tretazicar	None	None	None
DB04258	[H]\C(\C(\[H])=C(/[H])C(O)(CC)CC)=C(\[H])[C@@]([H])(C)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C(/[H])\C(\[H])=C1\C[C@@]([H])(O)C[C@]([H])(O)C1=C	Seocalcitol	None	None	None
DB04313	C[C@@H]([C@@H](N)C(O)=O)C(O)=O	(3S)-3-methyl-D-aspartic acid	None	None	None
DB04326	OCC(=O)COP(O)(O)=O	Dihydroxyacetone phosphate	None	None	None
DB04455	C[N+](C)(C)CC(O)=O	N,N,N-trimethylglycinium	None	None	None
DB04468	CC\C(=C(/C1=CC=C(O)C=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1	Afimoxifene	None	None	None
DB04485	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	Deoxythymidine	None	None	None
DB04519	CCCCCCCC(O)=O	Caprylic acid	None	None	None
DB04540	[H][C@@](C)(CCCC(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C	Cholesterol	None	True	None
DB04630	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]12C=O)C(=O)CO	Aldosterone	True	None	None
DB04657	CC1=C(SCCO1)C(=O)NC1=CC=CC=C1	Carboxin	None	None	None
DB04660	[H][C@@](O)(CO)COP([O-])(=O)OCC[N+](C)(C)C	Choline alfoscerate	None	None	None
DB04703	COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(O[C@@H]1O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]1O)C=C2O	HESPERIDIN	None	None	None
DB04725	CC1(C)CN2C(CC(O)=O)=C(C(=C2C1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1	Licofelone	None	None	None
DB04787	CN1C(=CC=C1C1=CC=C2NC(=S)OC(C)(C)C2=C1)C#N	Tanaproget	None	None	None
DB04796	[H][C@@]1(CC[C@]2([H])\C(CCC[C@]12C)=C\C=C1C[C@@H](O)C[C@H](O)C1)[C@H](C)CC#CC(C)(C)O	Inecalcitol	None	None	None
DB04816	OC1=CC=CC2=C1C(=O)C1=C(C=CC=C1O)C2=O	Danthron	None	None	None
DB04817	[Na+].CN(CS([O-])(=O)=O)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1	Metamizole	None	None	None
DB04823	OC1=CC=C(C=C1)C1(C(=O)NC2=CC=CC=C12)C1=CC=C(O)C=C1	Oxyphenisatin	None	None	None
DB04829	[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N(CC)CC	Lysergic Acid Diethylamide	None	None	None
DB04830	CCCC\N=C(/N)N=C(N)N	Buformin	None	None	None
DB04847	CC1=NC(C(=O)NCC(O)=O)=C(O)C2=CC=C(OC3=CC=CC=C3)C=C12	Roxadustat	None	None	None
DB04849	COC1=CC2=C(C=C1OCCCN1CCCC1)N=CN=C2OC1=C(F)C2=C(NC(C)=C2)C=C1	Cediranib	None	None	None
DB04850	OC[C@H](O)C(=O)N1CCC(=CC1)C1=C(F)C=C(C=C1F)N1C[C@H](COC2=NOC=C2)OC1=O	Posizolid	None	None	None
DB04851	OC(=O)CC(O)(CC(O)=O)C(O)=O.OC(=O)CC(O)(CC(O)=O)C(O)=O.COC1=CC(=CC(OC)=C1OC)C(=O)C(=O)N1CCCC[C@H]1C(=O)OC(CCCC1=CN=CC=C1)CCCC1=CN=CC=C1	Biricodar dicitrate	None	None	None
DB04852	CC1=NC2=C(C3=CC=CC=C3N2CC2=CC(=CC=C2)[C@H](C2CCCC2)C(=O)N[C@@H](CO)C2=CC=CC=C2)C(C)=C1	Implitapide	None	None	None
DB04853	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=C(N\N=C\C3CCCCC3)N=C12	Binodenoson	None	None	None
DB04856	CCCCCN(CCCOC)C(=O)[C@@H](CCC(O)=O)NC(=O)C1=CC(Cl)=C(Cl)C=C1	Dexloxiglumide	None	None	None
DB04857	[H][C@@]12CC[C@@]([H])(N1C)[C@]([H])(\C=N\OC)[C@H](C2)C1=CC(Cl)=C(Cl)C=C1	Brasofensine	None	None	None
DB04858	NC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=N1	Tirapazamine	None	None	None
DB04859	O=C(CCC1CCN(CC2=CC=CC=C2)CC1)C1=CC2=C(CCCCN2)C=C1	Zanapezil	None	None	None
DB04860	NC1=NC(=O)C2=C(N1)N([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)S2	Isatoribine	None	None	None
DB04862	COC1=C(C=CC(NC(=O)NC2=CC=CC(CNC(=O)O[C@H]3CCOC3)=C2)=C1)C1=CN=CO1	Merimepodib	None	None	None
DB04863	COC(=O)C[C@@H]1C[C@@H](COC2=CC=C(C=C2)C2=CC=C(C=C2)C(\N)=N\C(=O)OC)NC1=O	Lefradafiban	None	None	None
DB04864	[H][C@@]12CC3=C(C=CC(=O)N3)[C@@](N)(CC(C)=C1)\C2=C\C	Huperzine A	None	None	None
DB04866	[H][C@]1(O)CCCN[C@]1([H])CC(=O)CN1C=NC2=C(C=C(Cl)C(Br)=C2)C1=O	Halofuginone	None	None	None
DB04867	OC(=O)CN1C(=CC2=CC=CC=C12)C(=O)NC1=NC(=CS1)C1=CC=CC=C1Cl	Lintitript	None	None	None
DB04869	[H][C@@](CCCCN)(N=C(O)[C@@]([H])(CC1=CC(Br)=C(O)C(Br)=C1)N=C(O)N1CCC(CC1)N1CC2=CC=CC=C2N=C1O)C(=O)N1CCN(CC1)C1=CC=NC=C1	Olcegepant	None	None	None
DB04870	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(OC(=O)CCCCCCC\C=C/CCCCCCCC)C=C3	Oleoyl-estrone	None	None	None
DB04872	CN(C(C)=O)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC(Cl)=C(Cl)C=C2)CC1)C1=CC=CC=C1	Osanetant	None	None	None
DB04873	CCCCN1CCC(CNC(=O)C2=C3OCCCN3C3=CC=CC=C23)CC1	Piboserod	None	None	None
DB04874	N.[Cl-].[Cl-].[Pt++].CC1=CC=CC=N1	Picoplatin	None	None	None
DB04875	CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN2N1C(=O)[C@H](CCC2=O)NC(=O)C1=NC=CC2=CC=CC=C12	Pralnacasan	None	None	None
DB04879	ClC1=CC=C(NC2=NN=C(CC3=CC=NC=C3)C3=CC=CC=C23)C=C1	Vatalanib	None	None	None
DB04881	COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O	Elacridar	None	None	None
DB04882	OCC(CO)NN1C(=O)C2=C3C(NC4=C3C=CC(O)=C4)=C3N([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C4=C(C=CC(O)=C4)C3=C2C1=O	Edotecarin	None	None	None
DB04883	COC1=CC(OC)=NC(O[C@H](C(O)=O)C(OC)(C2=CC=CC=C2)C2=CC=CC=C2)=N1	Darusentan	None	None	None
DB04884	CN(C)[C@@H](CCOC1=CC=CC2=CC=CC=C12)C1=CC=CC=C1	Dapoxetine	None	None	None
DB04885	CC1=NC=CN1C[C@H]1CCC2=C(C3=CC=CC4=C3N2CCC4)C1=O	Cilansetron	None	None	None
DB04886	CCCC1=CC(=O)OC2=C1C1=C(C=CC(C)(C)O1)C1=C2[C@@H](O)[C@H](C)[C@@H](C)O1	Calanolide A	None	None	None
DB04887	[H][C@]12OCC[C@@]1([H])[C@H](CO2)OC(=O)N[C@@H](CC1=CC=C(OCC2=CSC(C)=N2)C=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC2=C(OCO2)C=C1	Brecanavir	None	None	None
DB04888	O=C1NC2=C(O1)C(=CC=C2)N1CCN(CC2=CC(=CC=C2)C2=CC=CC=C2)CC1	Bifeprunox	None	None	None
DB04889	CC1=CC=C(C=C1)C12CC1CNC2	Bicifadine	None	None	None
DB04891	CC[C@@](C)([H])[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1/C[C@](O)([H])C(=C)[C@]([H])(O)C1	Becocalcidiol	None	None	None
DB04892	[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC3=CC=CC=C3)=C1)N2C	Phenserine	None	None	None
DB04903	CC(C)CCC(=O)CC1N(C(=O)C2=CC=CC=C12)C1=NC2=C(C=CC(Cl)=N2)C=C1	Pagoclone	None	None	None
DB04905	CCN(CC)CCOC1=CC=C(CC2=CC=CC=C2)C=C1	Tesmilifene	None	None	None
DB04909	CCN(CC)CCCCCCNC1=CC(OC)=CC2=C(C)C=CN=C12	Sitamaquine	None	None	None
DB04910	CCCOC1=CC2=C(C=C1)N=C(NC(=O)OC)N2	Oxibendazole	None	None	None
DB04912	[Cl-].[Cl-].[Sn+4].CCC1=C2[N-]C(\C=C3/N=C(/C=C4\[N-]\C(=C/C5=N/C(=C\2)/C(C)=C5CC)C(C)=C4CCC(O)=O)C(CCC(O)=O)=C3C)=C1C	Stannsoporfin	None	None	None
DB04915	OC1=CC=C(C=C1)C1=CC2=C(OC1)C=C(O)C=C2	Idronoxil	None	None	None
DB04917	COC1=C(C=CC(N)=C1Cl)C(=O)NC1CCN2CCCC1C2	Renzapride	None	None	None
DB04924	COC1=C(OC)C=C(C=C1)C(=O)NCC1=CC=C(OCCN(C)C)C=C1	Itopride	None	None	None
DB04926	CC1(C)CC(C)(C)CC(C)(N)C1	Neramexane	None	None	None
DB04933	[H]\C(CCCCCC)=C(/[H])CCCCCCCCCC(O)=N[C@@]1([H])[C@]([H])(OC[C@@]2([H])O[C@]([H])(OP(O)(O)=O)[C@]([H])(N=C(O)CC(=O)CCCCCCCCCCC)[C@@]([H])(OCCCCCCCCCC)[C@]2([H])O)O[C@]([H])(COC)[C@@]([H])(OP(O)(O)=O)[C@]1([H])OCC[C@@]([H])(CCCCCCC)OC	Eritoran	None	None	None
DB04934	CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C)C(O)=C4C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1OC5=C(N=C1C4=C3C2=O)C(O)=CC(=C5)N1CCN(CC(C)C)CC1	Rifalazil	None	None	None
DB04936	OC[C@@H](O)[C@H](O)[C@H](O)C(=O)CO	Tagatose	None	None	None
DB04944	NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Acadesine	None	None	None
DB04947	[H][C@]12CC[C@]([H])([C@H]([C@H](C1)C1=CC=C(F)C=C1)C(=O)OC)N2C\C=C\I	Altropane	None	None	None
DB04952	NCCC[C@H]1NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H]([C@@H](O)C)NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CCCN)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](CC(N)=O)NC(=O)\C=C/C=C\CC(C)C)[C@@H](OC(=O)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](NC1=O)C1=CC=C(C=C1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)C1=CC=C(O)C=C1)C1=CC(Cl)=C(O)C=C1)C(N)=O)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	Ramoplanin	None	None	None
DB04954	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N[C@@H]3CCOC3)N=CN=C12	Tecadenoson	None	None	None
DB04957	CN1CCN(CCCCN2C(=O)CN(N=CC3=CC=C(O3)C3=CC=C(Cl)C=C3)C2=O)CC1	Azimilide	None	None	None
DB04960	CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1	Tipifarnib	None	None	None
DB04961	[H][C@]1(CO)OC[C@]([H])(O1)N1C=CC(=N)N=C1O	Troxacitabine	None	None	None
DB04970	ClC1=CN(CCCCN2CCN(CC2)C2=NC=CC=N2)N=C1	Lesopitron	None	None	None
DB04972	[H][C@](N)(CCC(O)=N[C@@]([H])(CS(=O)(=O)CCOP(=O)(N(CCCl)CCCl)N(CCCl)CCCl)C(O)=N[C@@]([H])(C(O)=O)C1=CC=CC=C1)C(O)=O	Canfosfamide	None	None	None
DB04975	C[N+](C)([O-])CCNC1=CC=C(NCC[N+](C)(C)[O-])C2=C1C(=O)C1=C(O)C=CC(O)=C1C2=O	Banoxantrone	None	None	None
DB04977	[H][C@@]12CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@@H](OC(=O)C[C@H](O)[C@]([H])(NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]1CCCN1C(=O)C(C)=O)[C@@H](C)OC(=O)[C@H](CC1=CC=C(OC)C=C1)N(C)C2=O)[C@@H](C)CC)C(C)C	Plitidepsin	None	None	None
DB04982	C[C@@H]1CC2=CC3=C(OCO3)C=C2C(=NN1C(C)=O)C1=CC=C(N)C=C1	Talampanel	None	None	None
DB04983	[H]N([H])C1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)N([H])C2=O)O1	Denufosol	None	None	None
DB04996	N.[Cl-].[Cl-].[Pt+4].CC([O-])=O.CC([O-])=O.NC1CCCCC1	Satraplatin	None	None	None
DB05003	NC1=NC(=O)N2CC12	Imexon	None	None	None
DB05009	CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(N=C2N)C#CC[C@H]1CC[C@@H](CC1)C(=O)OC	Apadenoson	None	None	None
DB05010	CCCCP(O)(=O)CCCN	SGS-742	None	None	None
DB05022	CN(C)CCN1C(=O)C2=CC=CC3=CC(N)=CC(C1=O)=C23	Amonafide	None	None	None
DB05025	O[C@@H](CON=C(Cl)C1=C[N+]([O-])=CC=C1)CN1CCCCC1	Arimoclomol	None	None	None
