NAME	SMILES	MDR1	BCRP	MRP2
NSC683257	[O-][N+](=O)C(F)(CN(COCN(CC(F)([N+]([O-])=O)[N+]([O-])=O)CC(F)([N+]([O-])=O)[N+]([O-])=O)CC(F)([N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O	False	False	False
NSC686368	CCN1C(=O)C2=CC=CC=C2N=C1SCC1=NN=C(NC2=CC=CC=C2)S1	False	False	False
NSC687454	CCOC1=CC2=C(CC[C@H]3[C@@H]4CC[C@H](N)[C@@]4(C)CC[C@H]23)C=C1O	False	False	False
NSC687849	ClC1=CC=C(C=C2/CN(CC(=C/C3=CC=C(Cl)C=C3)C2=O)C(=O)C=C)C=C1	False	False	False
NSC687850	FC1=CC=C(C=C2/CN(CC(=C/C3=CC=C(F)C=C3)C2=O)C(=O)C=C)C=C1	False	False	False
NSC688304	COC1=C(OC)C(OC)=C2NC(=CC2=C1)C(=O)N1CC(CCl)C2=C1C=C(NCCN)C=C2	False	False	False
NSC690435	CC(OC(C)=O)C1=CC2=C(S1)C(=O)C1=C(C(=CS1)C(C)OC(C)=O)C2=O	False	False	False
NSC690568	CN1CCN(CC1)C1=C2C(=O)C3=CC=CC=C3NC2=C(Cl)C=C1Cl	False	False	True
NSC690635	[O-][N+](=O)C1=CC=CC2=NC3=CC=CC=C3C(NCCCCCNC3=C4C(C=CC=C4[N+]([O-])=O)=NC4=CC=CC=C34)=C12	False	False	False
NSC691216	[O-][N+](=O)C1=CC=C2N3C4=CC=CC=C4NC3=C(C#N)C(=O)C2=C1	False	False	False
NSC691562	COC1=C(OC)C=C(C=C1)C1=NC(N)=C(C#N)C2=C1CCSC1=CC=C(C)C=C21	False	False	True
NSC691612	FC(F)(F)C1=CC(=CC(=C1)N1C(=O)N=NC1=O)C(F)(F)F	False	False	False
NSC691845	COC1=CC=C2N=C3C(=CC=C4N(CCCN(C)C)C(=S)N(CCCN(C)C)C(C2=C1)=C34)[N+]([O-])=O	False	False	False
NSC692574	COC(=O)C1=C(N(C(=CC1C1=CC=C(OC)C=C1OC)C1=CC=C(C)C=C1)C1=CC=C(OC)C=C1[N+]([O-])=O)C(=O)OC	False	False	False
NSC692576	COC(=O)C1=C(N(C(=CC1C1=CC=C(OC)C=C1OC)C1=CC=C(C)C=C1)C1=CC=C(OC)C=C1[N+]([O-])=O)C(=O)NC1=CC=CN=C1Cl	False	False	True
NSC692655	CC(=O)OC1CCC2(C)C3CCC4(C)NC5=C(CC4C3CC=C2C1)C=NN5C1=CC=C(F)C=C1	False	False	False
NSC692738	CN(C)CCNC(=O)C1=CC=CC2=C(NCCN(C)C)C3=CC=CC(C)=C3N=C12	False	False	False
NSC693145	COC1=C(OC)C=C2C(CCN3C(=O)C4=CC(OC)=C(OC)C=C4C=C23)=C1	False	False	False
NSC693224	O=C1CC(SC2=CC=CC=C2)C2(OCCO2)C(C1)SC1=CC=CC=C1	False	True	True
NSC693992	CCOC(=O)C=C(N1C=CC(=O)N(CC2=CN=NN2COCCOC(C)=O)C1=O)C(=O)OCC	False	True	False
NSC695805	NC1=NC(NCC2(CO)CC(CCCCC3=CC=CC=C3)C2)=C(N)C(Cl)=N1	False	False	False
NSC697168	OC1=CC=C2C=CC=CC2=C1OCC1=NN=C(CCCCCCCCC2=NN=C(COC3=C4C=CC=CC4=CC=C3O)N2NC2=CC=CC=C2)N1NC1=CC=CC=C1	False	False	False
NSC697266	C[C@H](CCCC(C)=O)[C@@H]1O[C@@H](C[C@H]2[C@H](CSC3=CC=CC=C3)C(=O)O[C@@H]12)[C@]1(C)CCC(=O)O1	False	True	False
NSC698023	CC(SC1=CC=C(Cl)C=C1)C=CCC1=NC(N)=NN=C1C	False	True	False
NSC698131	NS(=O)(=O)C1=NN2C(S1)=NC(=C2Br)C1=CC=CC=C1	False	False	False
NSC95580	CC(=O)NCCCCCCNC(C)=O	False	False	False
NSC102815	CO[C@H]1C[C@@](C)(O)[C@H](C(=O)OC)C2=C1C(O)=C1C(=O)C3=C(O)C=C4C(O[C@@H]5O[C@@]4(C)[C@H](O)[C@H]([C@@H]5O)N(C)C)=C3C(=O)C1=C2	True	False	False
NSC170365	CC[C@@H](C)[C@@H]1N[C@H]2C=CC3=C(N=C(C=C3[C@H](C)O)C(=O)O[C@H](C)[C@H]3NC(=O)C4=CSC(=N4)[C@@H](NC(=O)[C@@H]4CSC(=N4)C(NC(=O)[C@@H](NC(=O)C4=CSC(=N4)[C@@]4(CCC(=N[C@@H]4C4=CSC3=N4)C3=NC(=CS3)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC1=O)[C@H](C)O)=CC)[C@](C)(O)[C@H](C)O)[C@H]2O	True	False	False
NSC21075	COC1=CC2=C(C=C1OC1=C(OC3=C4C(CC(C)C)N(C)CCC4=CC(OC)=C3O)C(OC)=CC3=C1C(CC(C)C)N(C)CC3)C(CC(C)C)N(C)CC2	True	False	False
NSC211500	CC(C)C1=C2[C@H](O)[C@@H]3OC(=O)[C@]4(C)[C@H]3[C@](C)([C@@H]3O[C@@H]3[C@@H]4O)C2=CC(=O)O1	True	False	False
NSC237106	CCC(C)C1NC(=O)C(NC(=O)C2=C3N=C4C(OC3=C(C)C=C2)=C(C)C(=O)C(O)=C4C(=O)NC2C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C3CCCN3C(=O)C(NC2=O)C(C)CC)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O	True	False	False
NSC265450	CO[C@@H]1[C@H](C)O[C@H](O[C@H]2C[C@@](C)(O)CC3=C2C(O)=C2C(=O)C4=C(C(=O)C2=C3)C2=C(C=C4O)[C@@]3(C)O[C@@H](O2)[C@@H](O)[C@@H]([C@@H]3O)N(C)C)[C@H](OC)[C@@]1(C)OC	True	False	False
NSC270693	C1OC2=C(O1)C=C1C(=C2)C=[N+]2CCC3=C2C1=CC=C3	True	False	False
NSC28002	CC1=C2C=CC3=CC=CC=C3C2=C[N+]2=CC=CC=C12	True	False	False
NSC354975	COC1=CC2=C(C(O)=C1O)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(C)=O	True	False	False
NSC363997	OCCNCCNC1=CC=CC2=C1C(=O)C1=C(C2=O)C(NCCNCCO)=CC=C1	True	False	False
NSC365360	COC1=CC=C2N=CC=C(NCCCN3CCN(CCCNC4=CC=NC5=CC=C(OC)C=C45)CC3)C2=C1	True	False	False
NSC374979	COC1=CC2=C(C(OC(C)=O)=C1OC(C)=O)C1=CC=C(SC)C(=O)C=C1[C@H](CC2)NC(C)=O	True	False	False
NSC374980	COC1=C(OC(C)=O)C(OC(C)=O)=CC2=C1C1=CC=C(SC)C(=O)C=C1[C@H](CC2)NC(C)=O	True	False	False
NSC38270	CO[C@H]([C@@H]1CC2=C(C(=O)[C@H]1O[C@H]1C[C@H](O[C@H]3C[C@H](O[C@@H]4C[C@](C)(O)[C@H](OC(=O)C(C)C)[C@H](C)O4)[C@H](O)[C@H](C)O3)[C@H](O)[C@H](C)O1)C(O)=C1C(O)=CC(O[C@@H]3C[C@H](OC(C)=O)[C@H](O[C@@H]4C[C@H](O)[C@H](OC)[C@H](C)O4)[C@H](C)O3)=CC1=C2)C(=O)[C@@H](O)[C@H](C)O	True	False	False
NSC52745	CC1=[N+](C2=C(N1CC1=CC=C(C=C1)[N+]([O-])=O)C(=O)C1=C(C=CC=C1)C2=O)C1=CC=CC=C1	True	False	False
NSC630678	CCC(C)SC1SCC2N(C)C(=O)C(C)NC(=O)C(COC(=O)C3(CC3C)N(C)C(=O)C1N(C)C(=O)C(C)NC(=O)C(COC(=O)C1(CC1C)N(C)C2=O)NC(=O)C1=C(O)C=C2C=CC=CC2=N1)NC(=O)C1=C(O)C=C2C=CC=CC2=N1	True	False	False
NSC640085	CC[N+]1=C2C=CC(NC(=O)C=CC3=CC=CC=C3)=CC2=CC=C1C=CC1=CC=C(C=C1)N(CCCl)CCCl	True	False	False
NSC645302	CCOC1N(C)C2=C3C=CC=CC3=CC=C2C2=C1C=C(OC)C(OC)=C2	True	False	False
NSC645806	OCCN(CCO)CCNC1=C2C(C=CC=C2[N+]([O-])=O)=NC2=CC=CC=C12	True	False	False
NSC668380	COC1=CC(=CC(OC)=C1O)[C@H]1N2[C@H](COC2=O)[C@H](NC2=CC=C(C=C2)[N+]([O-])=O)C2=C1NC1=CC=CC=C21	True	False	False
NSC682066	OCCO[P+]1(OCCO)N2C3=CC=C2C(=C2C=CC(=N2)C(=C2C=CC(N12)=C(C1=NC(C=C1)=C3C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1	True	False	False
NSC685302	C[C@H](CCC1=NC(C#N)=C(N)O1)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	True	False	False
NSC690242	C1CN=C(NN=CC=CC2=CC=C(C=C2)C2=CN3C=C(C=CC=NNC4=NCCN4)C=CC3=N2)N1	True	False	False
NSC693120	CN(C)CCN1C(=O)N2C3=CC=C(O)C=C3C(=O)C3=C2C(=CC=C3NCCNCCO)C1=O	True	False	False
NSC696853	CC(C)(C)OC(=O)CN1CCN(CC(=O)N2CCN(CC2)C(=O)OCC2=CC=CC=C2)CCN(CC(=O)OC(C)(C)C)CCN(CC(=O)N2CCN(CC2)C(=O)OCC2=CC=CC=C2)CC1	True	False	False
NSC80466	CC(C)C[N+]1=C(C)N(C)C2=C1C(=O)C1=C(C=CC=C1)C2=O	True	False	False
NSC80469	CC(C)[N+]1=C(C=CC2=CC=CC=C2)N(C)C2=C1C(=O)C1=C(C=CC=C1)C2=O	True	False	False
NSC9609	CC1=C(C=CC(=C1)N=NC1=C2C=CC=CC2=CC=C1O)N=NC1=CC(=CC=C1)[N+](C)(C)C	True	False	False
catharantine	CCC1=C[C@@H]2CN3CCC4=C(NC5=CC=CC=C45)[C@@](C2)([C@@H]13)C(=O)OC	True	False	False
Thalicarpine	COC1=CC(C[C@@H]2N(C)CCC3=CC(OC)=C(OC)C=C23)=C(OC2=CC3=C(C=C2OC)C2=C(OC)C(OC)=CC4=C2[C@H](C3)N(C)CC4)C=C1OC	False	False	False
Dexrazoxane	C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1	False	False	False
5-Fluorouridine	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=C(F)C(=O)NC1=O	False	False	False
C-1305	CN(C)CCCNC1=CC=C2N=NN3C2=C1C(=O)C1=CC(O)=CC=C31	False	True	False
C-1311	CCN(CC)CCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(O)=CC=C31	False	True	False
NSC 73306	COC1=CC=C(NC(=S)NN=C2/C(=O)NC3=C2C=C(Cl)C=C3Cl)C=C1	False	True	False
C 1336	CCN(CC)CCCNC1=CC=C2N=C(C)N3C2=C1C(=O)C1=CC(O)=CC=C31	False	True	True
C 1584	CN(C)CCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(O)=CC=C31	False	True	False
C 1371	CN(C)CCCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(O)=CC=C31	False	True	False
C 1213	CN(C)CCNC1=CC=C2N=C(C)N3C2=C1C(=O)C1=CC=CC=C31	False	False	False
C 1330	CCN(CC)CCNC1=CC=C2N=CN3C2=C1C(=O)C1=CC(OC)=CC=C31	False	False	False
Bikaverin	COC1=CC(C)=C2C(=O)C3=C(O)C4=C(C(O)=C3OC2=C1)C(=O)C(OC)=CC4=O	False	True	False
Cyclosporine	CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	True	False	True
Glutathione	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O		True	True
Folic Acid	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1		True	True
Pravastatin	[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC	True	True	True
Caffeine	CN1C=NC2=C1C(=O)N(C)C(=O)N2C	True		
Reserpine	[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2	True	True	
Eletriptan	CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2	True		
Nelfinavir	[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C	True	True	True
Indinavir	CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12	True		True
Phenytoin	O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	True	False	True
Diethylstilbestrol	CCC(=C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1	True		
Metoprolol	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1	True	False	
Olmesartan	CCCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(O)=O)C(C)(C)O	False		True
Morphine	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	True		
Tenofovir disoproxil	[H][C@@](C)(CN1C=NC2=C(N)N=CN=C12)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C	True		True
Acetaminophen	CC(=O)NC1=CC=C(O)C=C1	True		
Gefitinib	COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1	True	True	
Indomethacin	COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O	True		True
Olanzapine	CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2	True		
Atenolol	CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1	True		
Aminohippuric acid	NC1=CC=C(C=C1)C(=O)NCC(O)=O			True
Grepafloxacin	CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O	True	True	True
Timolol	[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1	True	False	
Digoxin	[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1	True	False	False
Progesterone	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	True	True	
Sorafenib	CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1	True	True	
Cerivastatin	COCC1=C(C2=CC=C(F)C=C2)C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)=C(C(C)C)N=C1C(C)C	True	True	True
Betamethasone	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	True	False	
Teniposide	[H][C@]12COC(=O)[C@]1([H])[C@]([H])(C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@]2([H])O[C@]1([H])O[C@]2([H])CO[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]1([H])O)C1=CC=CS1	True	True	
Lansoprazole	CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1	True		
Prazosin	COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1	True	True	
Quinine	[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12	True		
Lenalidomide	NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O	True		
Zidovudine	CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O	True	True	False
Cimetidine	C\N=C(\NCCSCC1=C(C)NC=N1)NC#N	True	True	
Haloperidol	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1	True		False
Ritonavir	CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1	True		True
Cisplatin	N[Pt](N)(Cl)Cl	True	True	True
Erlotinib	COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1	True	True	False
Ciprofloxacin	OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O	True	True	False
Toremifene	CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1	True		
Vincristine	[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC	True	True	True
Fluorouracil	FC1=CNC(=O)NC1=O		True	
Lamotrigine	NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1	True	False	False
